Name,Cosmic Id, Tissue, Tissue sub-type,,
1287381,201T,1287381,LUAD,lung,lung_NSCLC_adenocarcinoma
924100,22RV1,924100,PRAD,urogenital_system,prostate
910924,23132-87,910924,STAD,digestive_system,stomach
687561,42-MG-BA,687561,GBM,nervous_system,glioma
1287706,451Lu,1287706,SKCM,skin,melanoma
687452,5637,687452,BLCA,urogenital_system,bladder
906798,639-V,906798,BLCA,urogenital_system,bladder
906797,647-V,906797,BLCA,urogenital_system,bladder
906800,697,906800,UNCLASSIFIED,blood,lymphoblastic_leukemia
910922,769-P,910922,KIRC,kidney,kidney
905947,786-0,905947,KIRC,kidney,kidney
687562,8-MG-BA,687562,GBM,nervous_system,glioma
906795,8305C,906795,THCA,thyroid,thyroid
924102,8505C,924102,THCA,thyroid,thyroid
910921,A101D,910921,SKCM,skin,melanoma
687563,A172,687563,GBM,nervous_system,glioma
910784,A204,910784,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma
906792,A2058,906792,SKCM,skin,melanoma
906794,A253,906794,UNCLASSIFIED,aero_digestive_tract,head_and_neck
906804,A2780,906804,UNCLASSIFIED,urogenital_system,ovary
910935,A3-KAW,910935,DLBC,blood,B_cell_lymphoma
906793,A375,906793,SKCM,skin,melanoma
910697,A388,910697,UNCLASSIFIED,skin,skin_other
910934,A4-Fuk,910934,DLBC,blood,B_cell_lymphoma
910851,A427,910851,UNCLASSIFIED,lung,lung_NSCLC_not_specified
910925,A431,910925,UNCLASSIFIED,skin,skin_other
905948,A498,905948,KIRC,kidney,kidney
905949,A549,905949,LUAD,lung,lung_NSCLC_adenocarcinoma
684052,A673,684052,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma
910920,A704,910920,KIRC,kidney,kidney
906791,ABC-1,906791,LUAD,lung,lung_NSCLC_adenocarcinoma
905950,ACHN,905950,KIRC,kidney,kidney
906803,ACN,906803,UNCLASSIFIED,nervous_system,neuroblastoma
906790,AGS,906790,STAD,digestive_system,stomach
910944,ALL-PO,910944,ALL,blood,lymphoblastic_leukemia
1295740,ALL-SIL,1295740,ALL,blood,T_cell_leukemia
910933,AM-38,910933,GBM,nervous_system,glioma
1295741,AMO-1,1295741,MM,blood,haematopoietic_neoplasm_other
910781,AN3-CA,910781,UCEC,urogenital_system,endometrium
906765,ARH-77,906765,MM,blood,myeloma
1290722,ASH-3,1290722,THCA,thyroid,thyroid
910687,ATN-1,910687,ALL,blood,lymphoblastic_T_cell_leukaemia
910704,AU565,910704,BRCA,breast,breast
910702,AsPC-1,910702,PAAD,pancreas,pancreas
910705,BALL-1,910705,UNCLASSIFIED,blood,B_cell_leukemia
753531,BB30-HNC,753531,HNSC,aero_digestive_tract,head_and_neck
